"minutes","test","model","flow","inputPower","outputPower","tcouples1","tcouples2","tcouples3","tcouples4","tcouples5","tcouples6","aveTankTemp","type"
187,"DOE_24hr0","Sanden80",0,0,0,57.78842,57.23834,58.11728,138.13772,147.515,147.515,101.05196,"Simulated"
188,"DOE_24hr0","Sanden80",0,0,0,57.78194,57.23186,58.1108,138.13124,147.50852,147.50852,101.04548,"Simulated"
189,"DOE_24hr0","Sanden80",0,0,0,57.77546,57.22556,58.10432,138.12476,147.50222,147.50222,101.03909,"Simulated"
190,"DOE_24hr0","Sanden80",0,0,0,57.76916,57.21908,58.09802,138.11846,147.49574,147.49574,101.0327,"Simulated"
191,"DOE_24hr0","Sanden80",0,0,0,57.76268,57.2126,58.09154,138.11198,147.48926,147.48926,101.02622,"Simulated"
192,"DOE_24hr0","Sanden80",0,0,0,57.7562,57.2063,58.08524,138.1055,147.48296,147.48296,101.01986,"Simulated"
193,"DOE_24hr0","Sanden80",0,0,0,57.7499,57.19982,58.07876,138.0992,147.47648,147.47648,101.01344,"Simulated"
194,"DOE_24hr0","Sanden80",0,0,0,57.74342,57.19334,58.07228,138.09272,147.47018,147.47018,101.00702,"Simulated"
195,"DOE_24hr0","Sanden80",0,0,0,57.73712,57.18704,58.06598,138.08642,147.4637,147.4637,101.00066,"Simulated"
196,"DOE_24hr0","Sanden80",0,0,0,57.73064,57.18056,58.0595,138.07994,147.45722,147.45722,100.99418,"Simulated"
197,"DOE_24hr0","Sanden80",0,0,0,57.72416,57.17426,58.0532,138.07364,147.45092,147.45092,100.98785,"Simulated"
198,"DOE_24hr0","Sanden80",0,0,0,57.71786,57.16778,58.04672,138.06716,147.44444,147.44444,100.9814,"Simulated"
199,"DOE_24hr0","Sanden80",0,0,0,57.71138,57.16148,58.04024,138.06068,147.43814,147.43814,100.97501,"Simulated"
200,"DOE_24hr0","Sanden80",0,0,0,57.70508,57.155,58.03394,138.05438,147.43166,147.43166,100.96862,"Simulated"
201,"DOE_24hr0","Sanden80",0,0,0,57.6986,57.14852,58.02746,138.0479,147.42536,147.42536,100.9622,"Simulated"
202,"DOE_24hr0","Sanden80",0,0,0,57.6923,57.14222,58.02116,138.0416,147.41888,147.41888,100.95584,"Simulated"
203,"DOE_24hr0","Sanden80",0,0,0,57.68582,57.13574,58.01468,138.03512,147.4124,147.4124,100.94936,"Simulated"
204,"DOE_24hr0","Sanden80",0,0,0,57.67934,57.12944,58.0082,138.02864,147.4061,147.4061,100.94297,"Simulated"
205,"DOE_24hr0","Sanden80",0,0,0,57.67304,57.12296,58.0019,138.02234,147.39962,147.39962,100.93658,"Simulated"
